Number,PlotNo,Subplot,Location,Date,Layer,corrected,CFs,Taxon,Euro+Med Taxon,0.01,0.03,0.10,0.32,1.00,3.16,phen,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,height,
546,BC03,NW,Hahn-Meitner-Fläche,02/10/2025,,,,Berteroa incana,Berteroa incana,,,,,5,3,,,,,,,,,
569,BC03,SE,Hahn-Meitner-Fläche,02/10/2025,,,,Berteroa incana,Berteroa incana,,,,,4,,fl+fr,,,,1,1,,"23, 19, 31",
1351,BC07,N,Sophie's site,27/03/2025,,,,Berteroa incana,Berteroa incana,,,,,7,0.5,,,,,,,,"2, 3, 3",
1429,BC07,N,Sophie's site,23/05/2025,,,,Berteroa incana,Berteroa incana,60,20,15,20,15,2,,,,,,,,"17, 18, 15",
1482,BC07,N,Sophie's site,31/07/2025,,,,Berteroa incana,Berteroa incana,,,,,30,15,fl+fr,,,,1,1,,"44, 30, 50",
1538,BC07,N,Sophie's site,28/09/2025,,,,Berteroa incana,Berteroa incana,,,,,20,7,fl+fr,,,,1,1,,"34, 5, 6",
1569,BC07,S,Sophie's site,28/09/2025,,,,Berteroa incana,Berteroa incana,,,,,0.5,,,,,,,,,,
1901,BC10,NW,Arnimallee meadow,04/04/2025,,31.05,,Berteroa incana,Berteroa incana,,,,,0.5,,,,,,,,,,
1940,BC10,SE,Arnimallee meadow,04/04/2025,,,,Berteroa incana,Berteroa incana,,,,,0.1,0.1,,,,,,,,"2, 1, 3",
1993,BC10,NW,Arnimallee meadow,31/05/2025,,,,Berteroa incana,Berteroa incana,0,0,0,3,3,,,,,,,,,,
2030,BC10,SE,Arnimallee meadow,31/05/2025,,,,Berteroa incana,Berteroa incana,0,0,0,1,1,2,fl,,,,1,,,"13, 14, 17",
2085,BC10,NW,Arnimallee meadow,25/07/2025,,,,Berteroa incana,Berteroa incana,,,,,5,,,,,,,,,,
2114,BC10,SE,Arnimallee meadow,25/07/2025,,,,Berteroa incana,Berteroa incana,,,,,5,4,fl+fr,,,,1,1,,"17, 11, 19",
2161,BC10,NW,Arnimallee meadow,03/10/2025,,,,Berteroa incana,Berteroa incana,,,,,2,,fl+fr,,,,1,1,,,
2189,BC10,SE,Arnimallee meadow,03/10/2025,,,,Berteroa incana,Berteroa incana,,,,,2,2,,,,,,,,"5, 2, 2",
2581,BC13,NW,Profund,05/04/2025,,,,Berteroa incana,Berteroa incana,,,,,0.01,0.01,,,,,,,,1,
2636,BC13,NW,Profund,29/05/2025,,,,Berteroa incana,Berteroa incana,0,0,0,0,0.1,0.01,,,,,,,,"10, 5",
2687,BC13,EXT,Profund,28/07/2025,,,maybe,Berteroa incana,Berteroa incana,,,,,0,0.05,,,,,,,,3,
2740,BC13,EXT,Profund,05/10/2025,,,,Berteroa incana,Berteroa incana,,,,,0,0.01,fl/fr,,,,1,1,,"8, 5, 6",
3886,BC18,EXT,Gartenhaus,26/09/2025,,,,Berteroa incana,Berteroa incana,,,,,0,0.1,,,,,,,,4,
2854,BC14,EXT,Biodidaktik,29/05/2025,,,cf,Betula tree seedling,Betula,0,0,0,0,0,0.001,S,1,,,,,,3,
3887,BC18,EXT,Gartenhaus,26/09/2025,,,,Betula tree seedling,Betula,,,,,0,0.001,S,1,,,,,,9,
136,BC01,NW,August-von-Wassermann Platz,02/10/2025,B,,,Brachythecium,Brachythecium,,,,,1,0.5,,,,,,,,"2, 1, 1",
361,BC02,SE,Garystr. Flächen Gelenkte Spontan,02/10/2025,B,,thin branches,Brachythecium,Brachythecium,,,,,2,2,,,,,,,,1,
395,BC03,NW,Hahn-Meitner-Fläche,29/03/2025,B,,cf,Brachythecium,Brachythecium,,,,,0.01,0.01,,,,,,,,2,
461,BC03,NW,Hahn-Meitner-Fläche,30/05/2025,B,,cf,Brachythecium,Brachythecium,0,0,0,5,2,X,,,,,,,,X,
585,BC03,SE,Hahn-Meitner-Fläche,02/10/2025,B,,,Brachythecium,Brachythecium,,,,,20,,,,,,,,,"3, 4, 2",
616,BC04,NW,Hahn-Meitner-Bau,29/03/2025,B,,cf,Brachythecium,Brachythecium,,,,,1,X,,,,,,,,2,
645,BC04,SE,Hahn-Meitner-Bau,29/03/2025,B,,,Brachythecium,Brachythecium,,,,,5,2,,,,,,,,,
1172,BC06,SE,Volleyball,27/03/2025,B,,Abietinella cf,Brachythecium,Brachythecium,,,,,0.5,0.2,,,,,,,,2,
1613,BC08,NW,Senke Zierkirschenplatz,27/03/2025,B,,cf light green,Brachythecium,Brachythecium,,,,,5,,,,,,,,,,
1630,BC08,SE,Senke Zierkirschenplatz,27/03/2025,B,,cf light green,Brachythecium,Brachythecium,,,,,10,10,,,,,,,,"1, 2, 2",
1646,BC08,NW,Senke Zierkirschenplatz,24/05/2025,B,,cf light green,Brachythecium,Brachythecium,0,0,10,10,5,5,,,,,,,,,
1660,BC08,SE,Senke Zierkirschenplatz,24/05/2025,B,,cf light green,Brachythecium,Brachythecium,0,0,10,10,10,,,,,,,,,1,
2401,BC12,NW,Sustainibility Dep.,28/03/2025,B,,Abietinella cf,Brachythecium,Brachythecium,,,,,25,X,,,,,,,,,
2421,BC12,SE,Sustainibility Dep.,28/03/2025,B,31.05,Abietinella cf,Brachythecium,Brachythecium,,,,,2,,,,,,,,,"2, 2",
2453,BC12,NW,Sustainibility Dep.,31/05/2025,B,,Abietinella cf,Brachythecium,Brachythecium,0,0,50,30,30,35,,,,,,,,1,
2500,BC12,NW,Sustainibility Dep.,25/07/2025,B,,cf,Brachythecium,Brachythecium,,,,,2,1,,,,,,,,2,
2549,BC12,NW,Sustainibility Dep.,03/10/2025,B,,,Brachythecium,Brachythecium,,,,,20,10,,,,,,,,,
2806,BC14,EXT,Biodidaktik,03/04/2025,B,,,Brachythecium,Brachythecium,,,,,0,0.1,,,,,,,,1,
2880,BC14,NW,Biodidaktik,29/05/2025,B,,Pseudoscleropodium cf,Brachythecium,Brachythecium,0,0,0,5,2,0.5,,,,,,,,,
2929,BC14,NW,Biodidaktik,28/07/2025,B,,,Brachythecium,Brachythecium,,,,,0.2,0.1,,,,,,,,1,
2976,BC14,NW,Biodidaktik,05/10/2025,B,,,Brachythecium,Brachythecium,,,,,0.5,0.1,,,,,,,,,
3045,BC15,SE,Blühfläche PflaPhy,27/03/2025,B,,Abietinella cf,Brachythecium,Brachythecium,,,,,5,0.1,,,,,,,,1,
3520,BC17,N,Gartenhaus Blühfläche,23/05/2025,B,"X, maybe rutabularum?",cf thin,Brachythecium,Brachythecium,0,0,0,1,1,3,,,,,,,,1,
4143,BC20,NW,Theaterwissenschaften,25/03/2025,B,,,Brachythecium,Brachythecium,0,0,0,0,0.5,,,,,,,,,,
4170,BC20,SE,Theaterwissenschaften,25/03/2025,B,,cf,Brachythecium,Brachythecium,5,2,1,1,1,0.1,,,,,,,,1,
4233,BC20,SE,Theaterwissenschaften,26/05/2025,B,,cf,Brachythecium,Brachythecium,0,10,5,2,1,0.5,,,,,,,,1,
1931,BC10,NW,Arnimallee meadow,04/04/2025,B,,,Brachythecium (fluffy),Brachythecium,,,,,0.5,0.5,,,,,,,,,
2019,BC10,NW,Arnimallee meadow,31/05/2025,B,,,Brachythecium (fluffy),Brachythecium,0,0,0,3,1,,,,,,,,,X,
2060,BC10,SE,Arnimallee meadow,31/05/2025,B,"2 values, 0.1 and 0.5, i make 0.3",,Brachythecium (fluffy),Brachythecium,0,0,0,0,0.5,0.3,,,,,,,,,
2106,BC10,NW,Arnimallee meadow,25/07/2025,B,,,Brachythecium (fluffy),Brachythecium,,,,,3,,,,,,,,,,
2139,BC10,SE,Arnimallee meadow,25/07/2025,B,,,Brachythecium (fluffy),Brachythecium,,,,,2,1,,,,,,,,1,
2181,BC10,NW,Arnimallee meadow,03/10/2025,B,,,Brachythecium (fluffy),Brachythecium,,,,,10,,,,,,,,,,
2213,BC10,SE,Arnimallee meadow,03/10/2025,B,,,Brachythecium (fluffy),Brachythecium,,,,,1,5,,,,,,,,1,
1932,BC10,NW,Arnimallee meadow,04/04/2025,B,,,Brachythecium (narrow),Brachythecium,,,,,3,2,,,,,,,,,
2020,BC10,NW,Arnimallee meadow,31/05/2025,B,,,Brachythecium (narrow),Brachythecium,0,0,0,0,1,,,,,,,,,X,
2061,BC10,SE,Arnimallee meadow,31/05/2025,B,,,Brachythecium (narrow),Brachythecium,0,0,0,0.5,1,1,,,,,,,,,
2107,BC10,NW,Arnimallee meadow,25/07/2025,B,,,Brachythecium (narrow),Brachythecium,,,,,5,,,,,,,,,,
2140,BC10,SE,Arnimallee meadow,25/07/2025,B,,,Brachythecium (narrow),Brachythecium,,,,,1,1,,,,,,,,1,
2182,BC10,NW,Arnimallee meadow,03/10/2025,B,,,Brachythecium (narrow),Brachythecium,,,,,5,,,,,,,,,,
2214,BC10,SE,Arnimallee meadow,03/10/2025,B,,,Brachythecium (narrow),Brachythecium,,,,,1,1,,,,,,,,1,
189,BC02,NW,Garystr. Flächen Gelenkte Spontan,29/03/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,80,X,,,,,,,,,
212,BC02,SE,Garystr. Flächen Gelenkte Spontan,29/03/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,55,,,,,,,,,"1, 2, 2",
240,BC02,NW,Garystr. Flächen Gelenkte Spontan,22/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,10,10,15,25,60,50,,,,,,,,2,
262,BC02,SE,Garystr. Flächen Gelenkte Spontan,22/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,30,30,20,20,15,,,,,,,,,,
287,BC02,NW,Garystr. Flächen Gelenkte Spontan,24/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,70,,,,,,,,,"3, 4, 2",
306,BC02,SE,Garystr. Flächen Gelenkte Spontan,24/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,10,60,,,,,,,,,
338,BC02,NW,Garystr. Flächen Gelenkte Spontan,02/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,70,65,,,,,,,,,
362,BC02,SE,Garystr. Flächen Gelenkte Spontan,02/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,55,,,,,,,,,"1, 2, 1",
685,BC04,NW,Hahn-Meitner-Bau,24/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,0,0,2,1,1,1,,,,,,,,,
721,BC04,SE,Hahn-Meitner-Bau,24/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,0,0,0,0,1,,,,,,,,,X,
779,BC04,SE,Hahn-Meitner-Bau,24/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,5,5,,,,,,,,2,
843,BC04,SE,Hahn-Meitner-Bau,02/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,5,1,,,,,,,,"3, 3, 4",
1151,BC06,NW,Volleyball,27/03/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,5,,,,,,,,,"2, 1, 1",
1173,BC06,SE,Volleyball,27/03/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,5,3,,,,,,,,,
1207,BC06,NW,Volleyball,23/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,0,0,0,0,5,,,,,,,,,,
1231,BC06,SE,Volleyball,23/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,0,0,0,0,5,3,,,,,,,,1,
1261,BC06,NW,Volleyball,30/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,0.1,0.1,,,,,,,,1,
1281,BC06,SE,Volleyball,30/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,10,,,,,,,,,,
1313,BC06,NW,Volleyball,28/09/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,5,3,,,,,,,,,
1339,BC06,SE,Volleyball,28/09/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,10,,,,,,,,,"1, 2",
1376,BC07,N,Sophie's site,27/03/2025,B,,cf,Brachythecium albicans,Brachythecium albicans,,,,,35,,,,,,,,,,
1407,BC07,S,Sophie's site,27/03/2025,B,,cf,Brachythecium albicans,Brachythecium albicans,,,,,60,60,,,,,,,,"1, 2, 3",
1443,BC07,N,Sophie's site,23/05/2025,B,,cf,Brachythecium albicans,Brachythecium albicans,15,20,30,25,40,25,,,,,,,,,
1465,BC07,S,Sophie's site,23/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,70,60,50,60,40,,,,,,,,,"1, 1, 2",
1496,BC07,N,Sophie's site,31/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,45,50,,,,,,,,"1, 2, 1",
1523,BC07,S,Sophie's site,31/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,50,,,,,,,,,,
1560,BC07,N,Sophie's site,28/09/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,50,50,,,,,,,,,
1592,BC07,S,Sophie's site,28/09/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,55,,,,,,,,,2,
1614,BC08,NW,Senke Zierkirschenplatz,27/03/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,15,,,,,,,,,,
1631,BC08,SE,Senke Zierkirschenplatz,27/03/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,5,10,,,,,,,,1,
1647,BC08,NW,Senke Zierkirschenplatz,24/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,5,10,5,20,15,15,,,,,,,,,
1661,BC08,SE,Senke Zierkirschenplatz,24/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,0,5,5,15,15,,,,,,,,,1,
1675,BC08,NW,Senke Zierkirschenplatz,02/08/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,50,58,,,,,,,,1,
1687,BC08,SE,Senke Zierkirschenplatz,02/08/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,50,,,,,,,,,,
1709,BC08,NW,Senke Zierkirschenplatz,03/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,40,,,,,,,,,,
1721,BC08,SE,Senke Zierkirschenplatz,03/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,40,43,,,,,,,,1,
1933,BC10,NW,Arnimallee meadow,04/04/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,15,,,,,,,,,,
1971,BC10,SE,Arnimallee meadow,04/04/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,15,10,,,,,,,,1,
2021,BC10,NW,Arnimallee meadow,31/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,0,15,15,10,15,,,,,,,,,X,
2062,BC10,SE,Arnimallee meadow,31/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,10,10,20,20,15,20,,,,,,,,,
2108,BC10,NW,Arnimallee meadow,25/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,15,,,,,,,,,,
2141,BC10,SE,Arnimallee meadow,25/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,10,13,,,,,,,,1,
2183,BC10,NW,Arnimallee meadow,03/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,20,,,,,,,,,,
2215,BC10,SE,Arnimallee meadow,03/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,20,25,,,,,,,,1,
2619,BC13,SE,Profund,05/04/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,1,0.5,,,,,,,,1,
2679,BC13,SE,Profund,29/05/2025,B,,,Brachythecium albicans,Brachythecium albicans,0,0,0,1,2,1,,,,,,,,1,
2733,BC13,SE,Profund,28/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,2,1,,,,,,,,1,
2767,BC13,NW,Profund,05/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,2,2,,,,,,,,1,
2795,BC13,SE,Profund,05/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,1,,,,,,,,,"1, 2, 1",
3138,BC15,EXT,Blühfläche PflaPhy,01/10/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,0,0.5,,,,,,,,1,
3429,BC17,N,Gartenhaus Blühfläche,05/04/2025,B,,cf,Brachythecium albicans,Brachythecium albicans,,,,,0.1,0.1,,,,,,,,1,
3604,BC17,N,Gartenhaus Blühfläche,23/07/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,0.5,1,,,,,,,,1,
3754,BC18,NW,Gartenhaus,28/03/2025,B,,cf,Brachythecium albicans,Brachythecium albicans,,,,,5,0.5,,,,,,,,1,
3919,BC18,NW,Gartenhaus,26/09/2025,B,,,Brachythecium albicans,Brachythecium albicans,,,,,5,2,,,,,,,,2,
2402,BC12,NW,Sustainibility Dep.,28/03/2025,B,,velutinum,Brachythecium rutabulum,Brachythecium rutabulum,,,,,1,X,,,,,,,,2,
3393,BC17,EXT,Gartenhaus Blühfläche,05/04/2025,B,,cf,Brachythecium rutabulum,Brachythecium rutabulum,,,,,0,0.5,,,,,,,,1,
46,BC01,NW,August-von-Wassermann Platz,22/05/2025,,,,Bromus mollis,Bromus hordeaceus,0,2,2,10,3,3,fr,,,,,1,,"13, 12, 11",
63,BC01,SE,August-von-Wassermann Platz,22/05/2025,,,,Bromus mollis,Bromus hordeaceus,0,0,0,0,2,,,,,,,,,,
123,BC01,NW,August-von-Wassermann Platz,02/10/2025,,,,Bromus mollis,Bromus hordeaceus,,,,,0.5,0.3,S,1,,,,,,"6, 7, 5",
962,BC05,SE,Hochschulsport,30/05/2025,,,,Bromus mollis,Bromus hordeaceus,0,0,0,0,0.1,0.1,fl,,,,1,,,"23, 30, 29",
1352,BC07,N,Sophie's site,27/03/2025,,23.05,hordeaceus cf,Bromus mollis,Bromus hordeaceus,,,,,0.5,X,,,,,,,,X,
1430,BC07,N,Sophie's site,23/05/2025,,,hordeaceus cf,Bromus mollis,Bromus hordeaceus,0,0,0,0,1,0.5,fr,,,,,1,,17,
1483,BC07,N,Sophie's site,31/07/2025,,,,Bromus mollis,Bromus hordeaceus,,,,,0.5,0.1,S,1,,,,,,"6, 5",
1539,BC07,N,Sophie's site,28/09/2025,,,,Bromus mollis,Bromus hordeaceus,,,,,0.3,0.3,fr,,,,,1,,"10, 8, 12",
1765,BC09,NW,Zierkirschenplatz Randstreifen,24/05/2025,,,cf,Bromus mollis,Bromus hordeaceus,0,0,0,0,0.1,0.01,,,,,,,,"14, 10, 15",
1804,BC09,NW,Zierkirschenplatz Randstreifen,30/07/2025,,3.10,cf,Bromus mollis,Bromus hordeaceus,,,,,0,0.2,fr,,,,,1,,"19, 10, 10",
1848,BC09,NW,Zierkirschenplatz Randstreifen,03/10/2025,,,cf annual,Bromus mollis,Bromus hordeaceus,,,,,0.01,,S,1,,,,,,9,
3185,BC16,NW,Vorderseite PflaPhy,28/03/2025,,26.05,,Bromus mollis,Bromus hordeaceus,,,,,1,1,,,,,,,,"9, 8, 6",
3209,BC16,SE,Vorderseite PflaPhy,28/03/2025,,26.05,,Bromus mollis,Bromus hordeaceus,,,,,3,,,,,,,,,,
3242,BC16,NW,Vorderseite PflaPhy,26/05/2025,,,,Bromus mollis,Bromus hordeaceus,0,0,0,1,2,,,,,,,,,,
3263,BC16,SE,Vorderseite PflaPhy,26/05/2025,,,,Bromus mollis,Bromus hordeaceus,0,20,10,15,10,3,fl/fr,,,,1,1,,"60, 47, 30",
3290,BC16,NW,Vorderseite PflaPhy,02/08/2025,,,,Bromus mollis,Bromus hordeaceus,,,,,1,3,,,,,,,,"13, 12, 18",
3312,BC16,SE,Vorderseite PflaPhy,02/08/2025,,,,Bromus mollis,Bromus hordeaceus,,,,,20,,,,,,,,,,
3333,BC16,NW,Vorderseite PflaPhy,05/10/2025,,,,Bromus mollis,Bromus hordeaceus,,,,,2,9,,,,,,,,,
3360,BC16,SE,Vorderseite PflaPhy,05/10/2025,,,,Bromus mollis,Bromus hordeaceus,,,,,20,,,,,,,,,"12, 13, 6",
4184,BC20,NW,Theaterwissenschaften,26/05/2025,,,,Bromus mollis,Bromus hordeaceus,0,0,0,0,0.1,0.1,fr,,,,,1,,26,
4300,BC20,NW,Theaterwissenschaften,26/09/2025,,,,Bromus mollis,Bromus hordeaceus,,,,,0.2,0.1,S,1,,,,,,"5, 7, 9",
196,BC02,SE,Garystr. Flächen Gelenkte Spontan,29/03/2025,,22.05,,Bromus sterilis,Anisantha sterilis,,,,,0.01,0.1,,,,,,,,"5, 7",
215,BC02,EXT,Garystr. Flächen Gelenkte Spontan,22/05/2025,,,,Bromus sterilis,Anisantha sterilis,0,0,0,0,0,0.01,,,,,,,,23,
345,BC02,SE,Garystr. Flächen Gelenkte Spontan,02/10/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,2,1,,,,,,,,"18, 22, 12",
375,BC03,NW,Hahn-Meitner-Fläche,29/03/2025,,30.05,,Bromus sterilis,Anisantha sterilis,,,,,7,5,,,,,,,,"8, 4, 7",
403,BC03,SE,Hahn-Meitner-Fläche,29/03/2025,,30.05,,Bromus sterilis,Anisantha sterilis,,,,,5,,,,,,,,,,
440,BC03,NW,Hahn-Meitner-Fläche,30/05/2025,,,,Bromus sterilis,Anisantha sterilis,5,10,15,30,35,,fl/fr,,,,1,1,,,
469,BC03,SE,Hahn-Meitner-Fläche,30/05/2025,,,,Bromus sterilis,Anisantha sterilis,5,3,2,2,3,10,,,,,,,,"35, 40, 46",
495,BC03,NW,Hahn-Meitner-Fläche,24/07/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.2,0.1,,,,,,,,,
519,BC03,SE,Hahn-Meitner-Fläche,24/07/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.01,,S,1,,,,,,"6, 10, 7",
570,BC03,SE,Hahn-Meitner-Fläche,02/10/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,3,,,,,,,,,"14, 12, 4",
849,BC05,EXT,Hochschulsport,28/03/2025,,30.05,cf,Bromus sterilis,Anisantha sterilis,,,,,0,0.1,,,,,,,,5,
927,BC05,NW,Hochschulsport,30/05/2025,,,cf,Bromus sterilis,Anisantha sterilis,0,0,0,0,0.5,0.1,fl,,,,1,,,"17, 16",
1414,BC07,EXT,Sophie's site,23/05/2025,,,,Bromus sterilis,Anisantha sterilis,0,0,0,0,0,0.1,,,,,,,,"19, 13, 22",
1730,BC09,NW,Zierkirschenplatz Randstreifen,27/03/2025,,24.05,,Bromus sterilis,Anisantha sterilis,,,,,0.3,0.1,,,,,,,,X,
1766,BC09,NW,Zierkirschenplatz Randstreifen,24/05/2025,,,,Bromus sterilis,Anisantha sterilis,0,0,0,0.3,1,0.2,fl,,,,1,,,"24, 22, 24",
1902,BC10,NW,Arnimallee meadow,04/04/2025,,31.05,,Bromus sterilis,Anisantha sterilis,,,,,1,,,,,,,,,,
1941,BC10,SE,Arnimallee meadow,04/04/2025,,31.05,,Bromus sterilis,Anisantha sterilis,,,,,1.5,1,,,,,,,,"10, 7, 4",
1994,BC10,NW,Arnimallee meadow,31/05/2025,,,,Bromus sterilis,Anisantha sterilis,0,0,0,8,3,,,,,,,,,,
2031,BC10,SE,Arnimallee meadow,31/05/2025,,,,Bromus sterilis,Anisantha sterilis,0,10,10,5,3,3,fl,,,,1,,,"32, 16, 24",
2086,BC10,NW,Arnimallee meadow,25/07/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.5,,,,,,,,,,
2115,BC10,SE,Arnimallee meadow,25/07/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.5,0.1,S,1,,,,,,"6, 7, 8",
2190,BC10,SE,Arnimallee meadow,03/10/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.01,0.01,S,1,,,,,,"8, 5",
2835,BC14,SE,Biodidaktik,03/04/2025,,29.05,cf,Bromus sterilis,Anisantha sterilis,,,,,0.01,0.01,,,,,,,,4,
2890,BC14,SE,Biodidaktik,29/05/2025,,,cf,Bromus sterilis,Anisantha sterilis,0,0,0,0,0.1,0.001,fl,,,,1,,,19,
2939,BC14,SE,Biodidaktik,28/07/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.01,0.001,,,,,,,,7,
3399,BC17,N,Gartenhaus Blühfläche,05/04/2025,,23.05,cf,Bromus sterilis,Anisantha sterilis,,,,,1,2,,,,,,,,"7, 5, 8",
3441,BC17,S,Gartenhaus Blühfläche,05/04/2025,,23.05,,Bromus sterilis,Anisantha sterilis,,,,,3,,,,,,,,,,
3494,BC17,N,Gartenhaus Blühfläche,23/05/2025,,,,Bromus sterilis,Anisantha sterilis,0,0,0,0.5,1,1,fl+fr,,,,1,1,,"25, 20, 21",
3530,BC17,S,Gartenhaus Blühfläche,23/05/2025,,,,Bromus sterilis,Anisantha sterilis,0,0,0,2,7,,,,,,,,,,
3582,BC17,N,Gartenhaus Blühfläche,23/07/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.1,,,,,,,,,,
3613,BC17,S,Gartenhaus Blühfläche,23/07/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.5,0.01,S,1,,,,,,"6, 5, 7",
3660,BC17,N,Gartenhaus Blühfläche,01/10/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,0.1,2,,,,,,,,,
3698,BC17,S,Gartenhaus Blühfläche,01/10/2025,,,,Bromus sterilis,Anisantha sterilis,,,,,5,,S,1,,,,,,"13, 14, 9",
4122,BC20,NW,Theaterwissenschaften,25/03/2025,,26.05,,Bromus sterilis,Anisantha sterilis,0,0,0,2,2,0.5,,,,,,,,"6, 4, 6",
4185,BC20,NW,Theaterwissenschaften,26/05/2025,,,,Bromus sterilis,Anisantha sterilis,0,0,0,3,0.5,0.1,fl,,,,1,,,"19, 22, 18",
921,BC05,EXT,Hochschulsport,30/05/2025,B,,cf,Bryum,Bryum,0,0,0,0,0,0.01,,,,,,,,1,
1004,BC05,EXT,Hochschulsport,23/07/2025,B,,,Bryum,Bryum,,,,,0,0.1,,,,,,,,1,
1065,BC05,EXT,Hochschulsport,28/09/2025,B,,,Bryum,Bryum,,,,,0,0.01,,,,,,,,1,
1262,BC06,NW,Volleyball,30/07/2025,B,,,Bryum,Bryum,,,,,1,0.1,,,,,,,,1,
1377,BC07,N,Sophie's site,27/03/2025,B,,cf,Bryum,Bryum,,,,,0.5,0.1,,,,,,,,1,
1497,BC07,N,Sophie's site,31/07/2025,B,,"cf., maybe just Climatium",Bryum,Bryum,,,,,3,1,,,,,,,,1,
1561,BC07,N,Sophie's site,28/09/2025,B,,,Bryum,Bryum,,,,,0.1,0.1,,,,,,,,,
1676,BC08,NW,Senke Zierkirschenplatz,02/08/2025,B,,,Bryum,Bryum,,,,,1,0.1,,,,,,,,1,
1710,BC08,NW,Senke Zierkirschenplatz,03/10/2025,B,,,Bryum,Bryum,,,,,0.1,0.01,,,,,,,,1,
1972,BC10,SE,Arnimallee meadow,04/04/2025,B,,,Bryum,Bryum,,,,,5,2,,,,,,,,1,
2022,BC10,NW,Arnimallee meadow,31/05/2025,B,,cf,Bryum,Bryum,0,0,0.5,1,0.5,,,,,,,,,X,
2063,BC10,SE,Arnimallee meadow,31/05/2025,B,,cf,Bryum,Bryum,0,0,0,0,1,1,,,,,,,,,
2109,BC10,NW,Arnimallee meadow,25/07/2025,B,,,Bryum,Bryum,,,,,2,,,,,,,,,,
2142,BC10,SE,Arnimallee meadow,25/07/2025,B,,,Bryum,Bryum,,,,,5,3,,,,,,,,1,
2184,BC10,NW,Arnimallee meadow,03/10/2025,B,,,Bryum,Bryum,,,,,0.1,0.1,,,,,,,,,
2216,BC10,SE,Arnimallee meadow,03/10/2025,B,,,Bryum,Bryum,,,,,2,0.1,,,,,,,,1,
2358,BC11,NW,Durchgang Fabeckstrasse Takustrasse,01/10/2025,B,,cf,Bryum,Bryum,,,,,0.5,0.1,,,,,,,,,
