Number,PlotNo,Subplot,Location,Date,Layer,corrected,CFs,Taxon,Euro+Med Taxon,0.01,0.03,0.10,0.32,1.00,3.16,phen,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,height,
4117,BC20,NW,Theaterwissenschaften,25/03/2025,,,,Acer seedling,Acer,0,0,0,0,0.1,,,,,,,,,,
4147,BC20,SE,Theaterwissenschaften,25/03/2025,,,,Acer seedling,Acer,0,0,0,0,0.5,0.1,S,1,,,,,,"5, 5, 8",
4179,BC20,NW,Theaterwissenschaften,26/05/2025,,,,Acer seedling,Acer,0,0,0,0,0.1,0.5,,,,,,,,,
4210,BC20,SE,Theaterwissenschaften,26/05/2025,,,,Acer seedling,Acer,0,0,0,0,0.5,,S,1,,,,,,"7, 10",
4248,BC20,NW,Theaterwissenschaften,22/07/2025,,,,Acer seedling,Acer,,,,,0.01,0.001,S,1,,,,,,3,
6,BC01,NW,August-von-Wassermann Platz,29/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,5,3,,,,,,,,"3, 2, 2",
43,BC01,NW,August-von-Wassermann Platz,22/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),15,10,5,15,15,10,,,,,,,,"6, 5, 8",
84,BC01,NW,August-von-Wassermann Platz,24/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,15,X,fl/fr,,,,1,1,,"33, 15, 12",
119,BC01,NW,August-von-Wassermann Platz,02/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,17,17,,,,,,,,"5, 10, 8",
166,BC02,NW,Garystr. Flächen Gelenkte Spontan,29/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,1,,,,,,,,,
191,BC02,SE,Garystr. Flächen Gelenkte Spontan,29/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,,fl,,,,1,,,"3, 2, 2",
221,BC02,NW,Garystr. Flächen Gelenkte Spontan,22/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,10,5,3,,,,,,,,X,
242,BC02,SE,Garystr. Flächen Gelenkte Spontan,22/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),15,10,10,5,2,,,,,,,,,,
270,BC02,NW,Garystr. Flächen Gelenkte Spontan,24/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,,,,,,,,,,
290,BC02,SE,Garystr. Flächen Gelenkte Spontan,24/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,8,5,fl,,,,1,,,"15, 13, 15",
318,BC02,NW,Garystr. Flächen Gelenkte Spontan,02/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,3,4,,,,,,,,,
341,BC02,SE,Garystr. Flächen Gelenkte Spontan,02/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,7,,fl+fr,,,,1,1,,"17, 10, 30",
372,BC03,NW,Hahn-Meitner-Fläche,29/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,5,0.5,,,,,,,,"6, 7, 5",
435,BC03,NW,Hahn-Meitner-Fläche,30/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,15,7,X,,,,,,,,X,
491,BC03,NW,Hahn-Meitner-Fläche,24/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,1,0.2,fl,,,,1,,,"10, 14, 11",
542,BC03,NW,Hahn-Meitner-Fläche,02/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,3,2,,,,,,,,"13, 6, 8",
596,BC04,NW,Hahn-Meitner-Bau,29/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,,,,,,,,,"3, 4, 2",
620,BC04,SE,Hahn-Meitner-Bau,29/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,12,3,,,,,,,,,
658,BC04,NW,Hahn-Meitner-Bau,24/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,0,5,1,,,,,,,,"15, 13, 13",
689,BC04,SE,Hahn-Meitner-Bau,24/05/2025,,X,,Achillea millefolium,Achillea millefolium (aggr.),X,10,20,25,25,,,,,,,,,,
735,BC04,NW,Hahn-Meitner-Bau,24/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,10,fl,,,,1,,,"13, 20, 35",
762,BC04,SE,Hahn-Meitner-Bau,24/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,25,,,,,,,,,,
789,BC04,NW,Hahn-Meitner-Bau,02/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,15,10,,,,,,,,,
818,BC04,SE,Hahn-Meitner-Bau,02/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,30,,,,,,,,,"9, 12, 11",
858,BC05,NW,Hochschulsport,28/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.5,1,,,,,,,,"2, 3, 4",
883,BC05,SE,Hochschulsport,28/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,,,,,,,,,3,
924,BC05,NW,Hochschulsport,30/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),15,15,10,10,5,,,,,,,,,,
958,BC05,SE,Hochschulsport,30/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),40,25,20,15,10,5,flb,,,1,,,,"20, 12, 14",
1006,BC05,NW,Hochschulsport,23/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,3,,,,,,,,,,
1030,BC05,SE,Hochschulsport,23/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,15,5,fl,,,,1,,,21,
1067,BC05,NW,Hochschulsport,28/09/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,10,10,,,,,,,,,
1097,BC05,SE,Hochschulsport,28/09/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,12,,,,,,,,,"14, 19, 12",
1128,BC06,NW,Volleyball,27/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.1,X,,,,,,,,"1, 2, 1",
1183,BC06,NW,Volleyball,23/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,0,0.5,1,,,,,,,,"5, 6, 3",
1240,BC06,NW,Volleyball,30/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,5,7,fl,,,,1,,,"4, 7, 8",
1287,BC06,NW,Volleyball,28/09/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,4,10,,,,,,,,"5, 7, 8",
1382,BC07,S,Sophie's site,27/03/2025,,,agg,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.1,0.01,,,,,,,,2,
1502,BC07,S,Sophie's site,31/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.2,0.001,,,,,,,,10,
1566,BC07,S,Sophie's site,28/09/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,0.1,,,,,,,,"6, 4, 5",
1727,BC09,NW,Zierkirschenplatz Randstreifen,27/03/2025,,,agg,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.2,5,,,,,,,,,
1747,BC09,SE,Zierkirschenplatz Randstreifen,27/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.01,,,,,,,,,"2, 4, 4",
1762,BC09,NW,Zierkirschenplatz Randstreifen,24/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,0.5,1,5,,,,,,,,"5, 3, 5",
1801,BC09,NW,Zierkirschenplatz Randstreifen,30/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,10,30,fl,,,,1,,,"15, 15, 17",
1825,BC09,SE,Zierkirschenplatz Randstreifen,30/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.2,,,,,,,,,,
1845,BC09,NW,Zierkirschenplatz Randstreifen,03/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,10,,,,,,,,,,
1870,BC09,SE,Zierkirschenplatz Randstreifen,03/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.1,30,fl+fr,,,,1,1,,"6, 26, 10, 14",
1897,BC10,NW,Arnimallee meadow,04/04/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,12,,,,,,,,,,
1936,BC10,SE,Arnimallee meadow,04/04/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,10,15,,,,,,,,"7, 3, 5",
1988,BC10,NW,Arnimallee meadow,31/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),60,20,40,20,20,,fl,,,,1,,,,
2025,BC10,SE,Arnimallee meadow,31/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,15,35,40,25,20,,,,,,,,"37, 21, 32, 47",
2080,BC10,NW,Arnimallee meadow,25/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,,,,,,,,,,
2112,BC10,SE,Arnimallee meadow,25/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,25,20,fl,,,,1,,,"38, 39, 20, 15",
2157,BC10,NW,Arnimallee meadow,03/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,30,,,,,,,,,,
2187,BC10,SE,Arnimallee meadow,03/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,25,fl+fr,,,,1,1,,"18, 30, 10",
2223,BC11,NW,Durchgang Fabeckstrasse Takustrasse,28/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,1,1,,,,,,,,,
2239,BC11,SE,Durchgang Fabeckstrasse Takustrasse,28/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.1,,,,,,,,,1,
2257,BC11,NW,Durchgang Fabeckstrasse Takustrasse,31/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,10,15,8,4,,,,,,,,,
2276,BC11,SE,Durchgang Fabeckstrasse Takustrasse,31/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,2,5,,,,,,,,,"2, 2, 1",
2303,BC11,NW,Durchgang Fabeckstrasse Takustrasse,29/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,20,6,,,,,,,,"6, 5, 5",
2319,BC11,SE,Durchgang Fabeckstrasse Takustrasse,29/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,2,,,,,,,,,,
2343,BC11,NW,Durchgang Fabeckstrasse Takustrasse,01/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,10,5,,,,,,,,,
2362,BC11,SE,Durchgang Fabeckstrasse Takustrasse,01/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,3,,fl,,,,1,,,"3, 4, 3",
2408,BC12,SE,Sustainibility Dep.,28/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.1,0.5,,,,,,,,3,
2457,BC12,SE,Sustainibility Dep.,31/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,0,2,2,,,,,,,,"6, 6, 11",
2504,BC12,SE,Sustainibility Dep.,25/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,1,0.1,,,,,,,,"7, 8, 11",
2554,BC12,SE,Sustainibility Dep.,03/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,1,0.001,,,,,,,,"6, 12, 5",
2579,BC13,NW,Profund,05/04/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.1,0.1,,,,,,,,1,
2633,BC13,NW,Profund,29/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,1,0.2,1,,,,,,,,,
2658,BC13,SE,Profund,29/05/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),0,0,0,0,1,,,,,,,,,"6, 4, 3",
2693,BC13,NW,Profund,28/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.1,0.3,,,,,,,,"4, 5, 5",
2715,BC13,SE,Profund,28/07/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.5,,,,,,,,,,
2746,BC13,NW,Profund,05/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,1,1,,,,,,,,,
2771,BC13,SE,Profund,05/10/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,1,,,,,,,,,"3, 5, 4",
3008,BC15,NW,Blühfläche PflaPhy,27/03/2025,,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,0.5,,,,,,,,,,
