Number,PlotNo,Subplot,Location,Date,Layer,corrected,CFs,Taxon,Euro+Med Taxon,0.01,0.03,0.1,0.32,1.00,3.16,phen,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,height
42,BC01,EXT,August-von-Wassermann Platz,22/05/2025,H,,,Potentilla argentea,Potentilla argentea,0,0,0,0,0,0.5,,,,,,,,13
43,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Achillea millefolium,Achillea millefolium (aggr.),15,10,5,15,15,10,,,,,,,,"6, 5, 8"
44,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Agrostis capillaris,Agrostis capillaris,30,20,20,20,20,17,fl,,,,1,,,"10, 8, 9"
45,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Bellis perennis,Bellis perennis,0,0,0,0,3,5,fl,,,,1,,,"7, 10, 9"
46,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Bromus mollis,Bromus hordeaceus,0,2,2,10,3,3,fr,,,,,1,,"13, 12, 11"
47,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Carex hirta,Carex hirta,0,0,0,3,3,1,fl,,,,1,,,"8, 7, 6"
48,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,24.07,,Crepis capillaris,Crepis capillaris,0,0,0,0,1,2,,,,,,,,"8, 9, 10"
49,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Festuca ovina,Festuca ovina,0,5,10,5,10,15,fr,,,,,1,,"23, 30, 25"
50,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Geranium molle,Geranium molle,0,0,0,1,2,1,fl,,,,1,,,"5, 6, 6"
51,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Holcus lanatus,Holcus lanatus,0,0,0,0,7,10,fl,,,,1,,,"16, 17, 15"
52,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Hypochaeris radicata,Hypochaeris radicata,0,0,0,2,5,4,fl,,,,1,,,"3, 4, 4"
53,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Plantago lanceolata,Plantago lanceolata,0,0,30,10,8,2,fl,,,,1,,,"8, 9, 11"
54,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,cf,Poa compressa,Poa compressa,0,0,0,0,1,0.5,fl/fr,,,,1,1,,"8, 15, 13"
55,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Rumex acetosa,Rumex acetosa,0,0,1,2,10,15,,,,,,,,"10, 9, 15"
56,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Trifolium dubium,Trifolium dubium,0,0,10,10,5,5,fl,,,,1,,,"3, 6, 6"
57,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Veronica arvensis,Veronica arvensis,0,0,0,0.01,0.001,0.01,fr,,,,,1,,"1, 5"
58,BC01,NW,August-von-Wassermann Platz,22/05/2025,H,,,Vicia lathyroides,Vicia lathyroides,0,0,0,3,1,0.5,fr,,,,,1,,"5, 8, 15"
59,BC01,NW,August-von-Wassermann Platz,22/05/2025,B,,,Climacium dendroides,Climacium dendroides,20,10,3,1,1,0.5,,,,,,,,1
60,BC01,NW,August-von-Wassermann Platz,22/05/2025,B,,,Rhytidiadelphus squarrosus,Rhytidiadelphus squarrosus,70,60,70,70,75,70,,,,,,,,"3, 1, 2"
61,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Agrostis capillaris,Agrostis capillaris,20,30,25,30,17,,,,,,,,,
62,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Bellis perennis,Bellis perennis,0,0,0,0,3,,,,,,,,,
63,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Bromus mollis,Bromus hordeaceus,0,0,0,0,2,,,,,,,,,
64,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Carex hirta,Carex hirta,0,0,0,0,1,,,,,,,,,
65,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,font cf,Cerastium holosteoides,Cerastium fontanum subsp. vulgare,0,0,0,0,0.5,0.01,,,,,,,,2
66,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,24.07,,Crepis capillaris,Crepis capillaris,0,0,0,0,1,,,,,,,,,
67,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Festuca rubra,Festuca rubra,0,10,20,15,20,10,fr,,,,,1,,"25, 10, 27"
68,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Geranium molle,Geranium molle,0,0,0,0,1,,,,,,,,,
69,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Holcus lanatus,Holcus lanatus,0,0,0,0,10,,,,,,,,,
70,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Hypochaeris radicata,Hypochaeris radicata,0,0,0,0,1,,,,,,,,,
71,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Pilosella officinarum,Pilosella officinarum,0,0,15,15,10,10,fl,,,,1,,,"2, 4, 5"
72,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Plantago lanceolata,Plantago lanceolata,0,0,2,1,1,,,,,,,,,
73,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,cf,Poa compressa,Poa compressa,0,0,0,0.1,2,,,,,,,,,
74,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Rumex acetosa,Rumex acetosa,10,5,5,20,15,,,,,,,,,
75,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Trifolium dubium,Trifolium dubium,5,1,1,2,3,,,,,,,,,
76,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Trifolium pratensis,Trifolium pratense,0,0,10,10,5,2,fl,,,,1,,,"6, 4, 6"
77,BC01,SE,August-von-Wassermann Platz,22/05/2025,H,,,Trifolium repens,Trifolium repens,0,0,0,15,20,3,,,,,,,,1
78,BC01,SE,August-von-Wassermann Platz,22/05/2025,B,"big cover was 1, but maybe error",,Plagiomnium,Plagiomnium,0,0,0,0.1,0.1,,,,,,,,,1
79,BC01,SE,August-von-Wassermann Platz,22/05/2025,B,,,Rhytidiadelphus squarrosus,Rhytidiadelphus squarrosus,0,0,20,70,70,,,,,,,,,
80,BC01,EXT,August-von-Wassermann Platz,24/07/2025,H,,,Berteroa incana,Berteroa incana,,,,,0,0.01,fl/fr,,,,1,1,,27
81,BC01,EXT,August-von-Wassermann Platz,24/07/2025,H,,,Hypericum perforatum,Hypericum perforatum,,,,,0,1,fl,,,,1,,,"29, 25, 23"
82,BC01,EXT,August-von-Wassermann Platz,24/07/2025,H,,,Potentilla argentea,Potentilla argentea,,,,,0,0.1,fl/fr,,,,1,1,,"23, 18, 14"
83,BC01,EXT,August-von-Wassermann Platz,24/07/2025,H,,cf. verna,Potentilla reptans,Potentilla reptans,,,,,0,0.1,,,,,,,,"6, 5, 3"
84,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,15,X,fl/fr,,,,1,1,,"33, 15, 12"
85,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Agrostis capillaris,Agrostis capillaris,,,,,30,,,,,,,,,"23, 11, 15"
86,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Bellis perennis,Bellis perennis,,,,,0.5,0.1,,,,,,,,"3, 4, 2"
87,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Carex hirta,Carex hirta,,,,,0.5,,,,,,,,,"7, 11, 6"
88,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Crepis capillaris,Crepis capillaris,,,,,0.5,0.5,fl/fr,,,,1,1,,"30, 25, 23"
89,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Festuca ovina,Festuca ovina,,,,,3,5,fr,,,,,1,,"13, 10, 11"
90,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Geranium molle,Geranium molle,,,,,0.3,,,,,,,,,1
91,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Holcus lanatus,Holcus lanatus,,,,,2,,fr,,,,,1,,"12, 11, 15"
92,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Hypochaeris radicata,Hypochaeris radicata,,,,,2,,fl/fr,,,,1,1,,"32, 7, 6"
93,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Plantago lanceolata,Plantago lanceolata,,,,,7,,fl/fr,,,,1,1,,"21, 10, 18"
94,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Poa compressa,Poa compressa,,,,,0.1,,,,,,,,,
95,BC01,NW,August-von-Wassermann Platz,24/07/2025,Seedling,Paper,,Robinia pseudoacacia,Robinia pseudoacacia,,,,,5,X,S,1,,,,,,"36, 16, 9"
96,BC01,NW,August-von-Wassermann Platz,24/07/2025,H,,,Rumex acetosa,Rumex acetosa,,,,,0.1,0.01,fl/fr,,,,1,1,,"36, 16, 9"
97,BC01,NW,August-von-Wassermann Platz,24/07/2025,Seedling,,,Vicia lathyroides,Vicia lathyroides,,,,,0.01,0.01,S,1,,,,,,"3, 3, 2"
