PlotNo,tree_cover_pct,green_cover_pct,blue_cover_pct,protected_biotopes_polygons_cover_pct,protected_biotopes_polygons_count,protected_biotopes_lines_count,protected_biotopes_points_count,protected_biotopes_count_sum,road_density_km_per_ha,parking_area_pct,impervious_pct,ulc_pct,poi_count,building_density,building_footprint_cover
BC01,16.29283281,9.677,0.389,0.455,7,0,0,7,0.124,1.271,34.115,38.856,353,2547,0.159
BC02,13.42201426,7.104,0.389,0.473,8,0,0,8,0.125,1.102,37.19,42.824,378,2711,0.167
BC03,14.04509123,7.114,0.389,0.473,8,0,0,8,0.126,1.285,37.393,43.196,413,2568,0.171
BC04,13.81237862,6.911,0.389,0.473,8,0,0,8,0.126,1.202,37.441,43.766,400,2505,0.175
BC05,20.63345218,19.175,0.246,2.825,17,4,0,21,0.117,1.086,30.789,34.808,448,1929,0.146
BC06,17.41551494,19.565,0.249,2.657,16,4,0,20,0.114,1.274,32.435,38.566,507,1923,0.153
BC07,17.12841495,19.169,0.249,2.229,16,4,0,20,0.115,1.257,32.838,38.955,513,1932,0.155
BC08,16.87969039,18.127,0.233,1.438,13,3,0,16,0.117,1.284,33.759,39.933,547,1959,0.159
BC09,16.77996434,17.377,0.236,1.155,9,3,0,12,0.118,1.302,34.228,40.447,562,1987,0.162
BC10,17.79084426,23.11,0.408,2.13,20,3,0,23,0.109,1.088,33.138,38.598,651,1869,0.159
BC11,17.68710992,22.845,0.458,1.961,17,3,0,20,0.11,1.081,33.382,38.845,657,1873,0.161
BC12,17.3823183,21.918,0.477,1.468,13,3,0,16,0.111,1.144,34.4,39.953,678,1896,0.165
BC13,16.3431947,18.298,0.417,0.878,7,0,0,7,0.115,1.296,36.272,42.245,735,2149,0.174
BC14,18.21050118,20.687,0.434,1.415,11,3,0,14,0.104,1.163,34.176,39.405,652,1984,0.167
BC15,19.61131102,23.107,0.399,1.922,12,2,0,14,0.102,1.413,32.98,38.092,632,2012,0.162
BC16,19.70665223,24.629,0.399,2.296,16,3,0,19,0.101,1.442,32.4,37.096,626,1964,0.158
BC17,18.60782066,21.599,0.399,0.918,7,0,0,7,0.115,1.665,35.86,40.086,800,2153,0.181
BC18,18.65696823,21.902,0.399,0.915,7,0,0,7,0.116,1.653,36.063,40.199,826,2168,0.182
BC19,18.61128277,22.519,0.399,1.027,8,0,0,8,0.114,1.728,35.606,39.342,832,2125,0.176
BC20,17.87913907,22.874,0.399,1.044,8,0,0,8,0.115,1.719,36.441,39.727,907,2161,0.182
