PlotNo,tree_cover_pct,green_cover_pct,blue_cover_pct,protected_biotopes_polygons_cover_pct,protected_biotopes_polygons_count,protected_biotopes_lines_count,protected_biotopes_points_count,protected_biotopes_count_sum,road_density_km_per_ha,parking_area_pct,impervious_pct,ulc_pct,poi_count,building_density,building_footprint_cover
BC01,10.59877489,3.386,0,0,0,0,0,0,0.141,2.203,43.114,51.345,45,124,0.176
BC02,5.537487335,0,0,0,0,0,0,0,0.118,1.837,36.147,41.153,31,167,0.206
BC03,11.61569827,16.585,0,0,0,0,0,0,0.151,3.057,36.009,46.902,38,102,0.165
BC04,15.51399491,22.327,0.688,0.684,2,0,0,2,0.167,3.077,34.939,44.297,34,82,0.154
BC05,7.146477446,15.827,0,1.087,1,0,0,1,0.136,3.39,44.534,50.06,63,131,0.149
BC06,12.45718654,2.415,0,0,0,0,0,0,0.092,5.636,42.47,45.939,29,51,0.282
BC07,12.41526718,0.383,0,0,0,0,0,0,0.081,5.029,42.113,45.176,30,54,0.291
BC08,9.948495665,0,0,0,0,0,0,0,0.087,3.99,43.665,45.886,25,65,0.303
BC09,9.302396736,0,0,0,0,0,0,0,0.085,3.785,42.653,44.613,24,82,0.3
BC10,7.877478393,0.007,0,0,0,0,0,0,0.092,3.638,41.571,48.835,15,66,0.267
BC11,8.925624045,0.122,0,0,0,0,0,0,0.093,3.594,40.012,47.22,14,74,0.251
BC12,11.20334686,0.487,0,0,0,0,0,0,0.107,2.394,36.374,43.026,14,123,0.21
BC13,17.73014257,0.281,0,0,0,0,0,0,0.113,0,30.74,46.537,8,172,0.171
BC14,16.30651731,19.414,1.28,0,0,0,0,0,0.074,2.871,33.075,40.545,48,91,0.165
BC15,28.8848701,38.602,0,8.862,1,0,0,1,0.078,1.705,31.842,38.267,94,73,0.132
BC16,26.89387755,26.835,0,7.923,1,0,0,1,0.088,1.576,33.203,39.296,48,79,0.151
BC17,27.82542113,29.506,0,8.25,1,0,0,1,0.089,1.175,35.458,37.296,66,138,0.177
BC18,27.81218274,26.466,0,7.635,1,0,0,1,0.088,1.189,35.687,37.343,61,152,0.184
BC19,26.83893986,16.19,0.007,4.536,2,0,0,2,0.103,0.683,36.916,37.752,46,162,0.177
BC20,24.19979716,6.558,0.038,0.078,2,0,0,2,0.098,1.137,36.675,37.805,38,177,0.196
